#;Original Name;Translated Name
416;verenigde staten van amerika;United States
417;германия;Germany
418;irska;Ireland
419;sjedinjene američke države;United States
420;british indian ocean territory;✅ British Indian Ocean Territory (UK territory)
421;rakousko;Austria
422;austria deutsch;Austria
423;bosnia i hercegovina bosnian;Bosnia and Herzegovina
424;brazil portugues;Brazil
425;costa rica espanol;Costa Rica
426;guatemala espanol;Guatemala
427;india english;India
428;italy italiano;Italy
429;paraguay espanol;Paraguay
430;trinidad tobago english;Trinidad and Tobago
431;turkey turkce;Turkey
432;ukraine yкраї́нська;Ukraine
433;marshall islands;Marshall Islands
434;botswana english;Botswana
435;hungary magyar;Hungary
436;israel עברית;Israel
437;korea 한국어;South Korea
438;serbia srpski;Serbia
439;united states english;United States
440;السعودية;Saudi Arabia
441;spagna;Spain
442;wales;❌ Not a country (Part of UK)
443;romania romană;Romania
444;vietnam tiếng việt;Vietnam
445;جميع البلدان;❌ Not a country („All countries“)
446;francuska;France
447;estonia eesti;Estonia
448;greece ελληνικά;Greece
449;latvia latviešu;Latvia
450;malaysia 中文;Malaysia
451;middle east africa;❌ Not a country
452;norway norsk;Norway
453;thailand ไทย;Thailand
454;suiza;Switzerland
455;république tchèque;Czech Republic
456;cambodia ភាសាខ្មែរ;Cambodia
457;el salvador espanol;El Salvador
458;ghana english;Ghana
459;kyrgyzstan русский;Kyrgyzstan
460;macau 中文;✅ Macao (SAR of China)
461;malaysia english;Malaysia
462;nicaragua espanol;Nicaragua
463;panama espanol;Panama
464;zambia english;Zambia
465;london;❌ Not a country (City)
466;švicarska;Switzerland
467;middle east;❌ Not a country
468;cocos keeling islands;✅ Cocos (Keeling) Islands (Australian external territory)
